Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID
Virtual FrontCounter BC,virtual-frontcounter-bc,Application,d7d75910-d2d2-48f6-b732-e16bc2824c5a,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Discover the best places to tap into BC's natural ...,completed,http://www.frontcounterbc.gov.bc.ca/virtual/,other,Launch Virtual FrontCounter BC Application,3c4941e9-dbc0-4e64-ae9c-3c4146384afc,
Recreation Sites and Trails,recreation-sites-and-trails,Application,d2dae2d2-6ecc-4596-b92f-c77512593351,83bd8754-9578-4ac0-82dd-17be053334ce,"Ministry Of Forests Lands And Natural Resource Operations, Recreation Sites and Trails BC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Pick your next campsite or plan a day hike with yo...,completed,http://apps.gov.bc.ca/pub/dmf-viewer/?siteid=5140114829009675607,other,Launch Recreation Sites and Trails Application,f2884f7c-0847-48dc-ae09-5754f8cfc01e,
BC Species and Ecosystems Explorer,bc-species-and-ecosystems-explorer,Application,be4582bd-738a-44ca-800a-6a3ba4b74f9c,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Educate yourself and others about species and ecos...,completed,http://a100.gov.bc.ca/pub/eswp/,other,Launch BC Species and Ecosystems Application,102457e4-cabd-4fb5-a5ba-a6185662e7d9,
WorkBC Employment Services Centres Application,workbc-employment-services-centres-application,Application,bd05e41b-b414-4065-9190-3a58aaf46141,eff8422d-6c3b-46e1-8865-4ead7e5f02f9,"Ministry Of Social Development And Social Innovation, Employment and Labour Market Service Division",Social Services,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,The WorkBC Employment Services Centres Map identif...,completed,http://apps.gov.bc.ca/pub/dmf-viewer/?siteid=7358013170993376514,other,Launch WorkBC Application,9275795b-2639-4a9f-a09c-81174c7c2b8e,
Ministry of Forests and Range SeedMap,ministry-of-forests-and-range-seedmap,Application,bc1f49a7-4854-474c-9637-7f52777ac822,36ee73ba-9a70-419f-8411-6605359d8803,"Ministry Of Forests Lands And Natural Resource Operations, Tree Improvement",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Forestry has been a major part of BC for decades. ...,completed,http://maps.gov.bc.ca/ess/sv/seedmap/,other,Launch MOFR SeedMap Application,12f5b3d3-060e-4c88-b08f-3400e694e33c,
Environmental Violations Database,environmental-violations-database,Application,a272373f-baa5-4da8-ba8a-3189c9e6fe53,31d4e4bf-d45e-4dff-bd09-27945e6ec0cd,"Ministry Of Environment, Strategic Policy",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,"A free, searchable database that includes a wide v...",completed,https://a100.gov.bc.ca/pub/ocers/searchApproved.do?submitType=menu,other,Launch Environmental Violations Application,8074897c-84fa-43eb-9d38-d0986c03aedc,
Invasive Alien Plant Program Application (IAPP),invasive-alien-plant-program-application-iapp,Application,94947f19-26c8-46a1-a6b3-a009dadc67b9,80c16b46-354c-40f5-83be-d825e428d812,"Ministry Of Forests Lands And Natural Resource Operations, Range (Range, Invasive Plants and Ecosystem Restoration)",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Call it weeding on steroids. The IAPP provides an ...,completed,http://maps.gov.bc.ca/ess/hm/iapp,other,Launch IAPP Application,72f5cfff-6c30-4697-96b8-a9b3108ad0c7,
EcoCat - The Ecological Reports Catalogue,ecocat-the-ecological-reports-catalogue,Application,9241367c-54f9-483d-a918-67ed53c1e080,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Check out the average number of killer whales that...,completed,http://www.env.gov.bc.ca/ecocat/index.htm,other,Launch EcoCat Application,6016a976-ac1c-42de-b61f-530afd694425,
Service Finder BC,service-finder-bc,Application,8b9dde9b-56be-40fc-9411-7fee92dff59d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Use the Service Finder Map to locate a service cou...,completed,http://apps.gov.bc.ca/pub/dmf-viewer/?siteid=7011406662963760313,other,Launch Service Finder BC Application,e4f5344a-4bab-4d83-8ab1-1f9aa75f8fa5,
DataBC Mashup Framework (Secure),databc-mashup-framework-secure,Application,8aaaf414-8710-4c72-b565-1c0c8a2f5f5d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,"Use this online authoring wizard to develop, revie...",completed,https://apps.gov.bc.ca/ext/dmf-wizard/,other,Launch DataBC Mashup Framework Application,ec6b9ccd-d02c-4f77-a01c-6023ce02f7f1,
BC Water Resources Atlas,bc-water-resources-atlas,Application,77c36263-2bb1-466f-b9fc-c2bbbbab93c4,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Interested in knowing where your community's water...,completed,http://webmaps.gov.bc.ca/imf5/imf.jsp?site=wrbc,other,Launch BC Water Resources Atlas,ad27cad8-f5db-489b-9c87-96d3efe85104,
Cross-linked Information Resources (CLIR),cross-linked-information-resources-clir,Application,6f8576bc-1585-429c-97f9-e94b059fa455,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,This is a search application designed to simultane...,completed,http://a100.gov.bc.ca/pub/clir/enterCLIR.do?redirect=Y,other,Launch CLIR Application,b2122148-6b60-46a3-803d-90304c906cb1,
Avalanche and Weather Programs - Public Access Weather System (PAWS),avalanche-and-weather-programs-public-access-weather-system-paws,Application,5fc4f181-a796-4449-a152-2fa95523ed32,887e5427-b980-48c8-853d-74623333bfff,"Ministry Of Transportation And Infrastructure, Construction and Maintenance",Transportation,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Access historical weather observation data from an...,completed,https://prdoas3.pub-apps.th.gov.bc.ca/saw-paws,other,Launch PAWS Application,2d7c32f8-d66e-4444-ab4e-1e2545201138,
Conservation Data Centre,conservation-data-centre,Application,5e22ac2d-227d-4a8d-909d-04be6f7a9638,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Another app that can help guide support efforts fo...,completed,http://webmaps.gov.bc.ca/imfx/imf.jsp?site=imapbc&savessn=Ministry,other,Launch CDC Application,6058e740-f921-466e-93d0-8a83694b4925,
BC Fuel Hazard Assessment and Abatement Fire Risk Map,bc-fuel-hazard-assessment-and-abatement-fire-risk-map,Application,5b3dffab-1783-45f9-a53c-881b372429e2,9165d2c2-37f8-4750-a980-8d735bcd091b,"Ministry Of Forests Lands And Natural Resource Operations, BC Wildfire Service",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,British Columbia Fuel Hazard Assessment and Abatem...,completed,http://bcwildfire.ca/Industry_Stakeholders/industry/hazrisk.htm,other,Launch BC Fire Hazard and Risk Application,e331ed7c-43e8-4d85-837c-4cede7b907dc,
Mineral Titles Online,mineral-titles-online,Application,53528641-2d32-4d04-8072-50d0f333a25d,04215a2c-c0b4-4829-a082-bb9467f20e1c,"Ministry Of Energy And Mines, Mineral Titles",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,If you're interested in harvesting some of BC's un...,completed,http://www.empr.gov.bc.ca/Titles/MineralTitles/mto/Pages/default.aspx,other,Launch Mineral Titles Online Application,8e10fa78-0e42-4fb9-b45d-9c3984be508c,
Data Distribution Service,data-distribution-service,Application,530503ce-6c81-4e27-ab1a-776b48b41b4d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,You can use this app to find information across va...,completed,https://apps.gov.bc.ca/pub/dwds/home.so,other,Launch DataBC Distribution Service Application,7bbce84a-8de5-405b-812f-d49737d442d4,
Species Inventory Web Explorer - SIWE,species-inventory-web-explorer-siwe,Application,46e3eedc-e49b-4277-baeb-cccd009f5055,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,The Species Inventory Web Explorer is a search eng...,completed,http://a100.gov.bc.ca/pub/siwe/search_reset.do,other,Launch Species Inventory Application,e6f779b4-9d08-4a5c-83b5-a6f95cd5a4b9,
Geographic Data Discovery Service,geographic-data-discovery-service,Application,38ea400b-d1f0-4b4e-89ab-390463f6377d,d2e433a1-b785-4d03-8a2b-392069175eb4,"Government Communications And Public Engagement, Enterprise Data Services",Service,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Linked to the same data as the Data Distribution S...,completed,https://apps.gov.bc.ca/pub/geometadata/home.do,other,Launch DataBC Discovery Service Application,9c6af1ba-f777-4c4d-b8a8-2d528167e946,
WelcomeBC,welcomebc,Application,2ad2c87a-1f31-4682-9e64-415a126cdd46,d4791e28-298e-4337-b187-13e2cc4ddc21,"Ministry Of Jobs Tourism And Skills Training, Labour Market Programs",Economy,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,The Settlement Services Map tracks agencies across...,completed,http://apps.gov.bc.ca/pub/dmf-viewer/?siteid=8644739525425146721,other,Launch WelcomeBC Application,602366e5-d420-4073-9664-c569fae2eae8,
Habitat Wizard,habitat-wizard,Application,2a0e7ec1-a0de-4639-9e33-401db304eb49,6969d274-d120-4a6a-9730-fcd4e33d4c81,"Ministry Of Environment, Knowledge Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,HabitatWizard is a map-based tool created for user...,completed,http://www.env.gov.bc.ca/habwiz/,other,Launch Habitat Wizard Application,f7f26896-a140-4913-95ff-79bb44f51eec,
Traffic Information System Mapping Application,traffic-information-system-mapping-application,Application,2339750c-2b63-4cbe-9eae-db82d7b73cab,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,This app will not only help you plan the best rout...,completed,https://pub-apps.th.gov.bc.ca/tig-public/,other,Launch TIS Application,45199f23-964f-4356-9aa4-aba14fe85813,
Transportation Survey GIS,transportation-survey-gis,Application,21e4fea3-3c9c-47a3-bba1-461bbd98687f,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Transportation Survey GIS...,completed,https://pub-apps.th.gov.bc.ca/tsg/,other,Launch Transportation Survey Application,db600f04-f24f-405d-a025-deddfade1127,
Coastal Resource Information System,coastal-resource-information-system,Application,1c6fdab6-6593-4aee-8a0a-dd85a5d7077a,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Coordinate your next kayaking trip with the Humpba...,completed,http://webmaps.gov.bc.ca/imf5/imf.jsp?site=dss_coastal,other,Launch CRIS Application,5febe2c2-94d1-4808-97e4-d7d507498997,
Traffic Data Program,traffic-data-program,Application,126d7e5e-22f7-4762-9fda-de58a8e810ab,6180e844-95af-4bca-a9d2-db2bc2983b20,"Ministry Of Transportation And Infrastructure, Information Management - TRAN",Transportation,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Does your commute to work feel like you're sitting...,completed,https://prdoas3.pub-apps.th.gov.bc.ca/tsg/,other,Launch TDP Application,6ede44da-07a5-4ddc-8ca5-9cf319501754,
Property Tax Transfer,property-tax-transfer,Application,100a56bb-4f83-406e-a0fe-1d39f936d1c5,4f4af652-cbf5-4645-8ca0-fae6a08be44d,"Ministry Of Finance, Property Taxation",Finance,Access Only,LOW-PUBLIC,Public,Public,2013-01-25,2015-12-22,Transferring your principal residence that is over...,completed,http://www.sbr.gov.bc.ca/business/Property_Taxes/Property_Transfer_Tax/prpe_calculation.htm,other,Launch Property Tax Transfer Application,916b6c8b-2162-4234-b830-447f1a9415b6,
