Title,Name,Type,ID,Sub. Organization,Full Organization Name,Sector,License,Security Class,View Audience,Download,Record Publish date,Record Last Modified,Description,Resource Status,Resource URL,Format,Resource Name,Resource ID,Resource Type,Object Name
Lakeshore Mgmt Zones Classified Lakes Okanagan Shuswap TSA,lakeshore-mgmt-zones-classified-lakes-okanagan-shuswap-tsa,Geographic,d0521491-0a97-4c51-b099-fb9abccd9553,32cf90fc-9350-4ab6-995f-11a66125b5a1,"Ministry Of Forests Lands And Natural Resource Operations, Forest Tenures",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Lakeshore Management Zones for the Okanagan TSA....,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Lakeshore Mgmt Zones Classified Lakes Okanagan Shuswap TSA,e13ceedb-b108-4b79-b0d1-b0e7c5f86bf0,Data,REG_LAND_AND_NATURAL_RESOURCE.LAKESHORE_MGMT_ZONES_TOK_POLY
BC Hydro Facility Points,bc-hydro-facility-points,Geographic,964c01b0-0cfc-4402-a26d-52a77501e584,c5fd260d-8e4c-41d0-98e8-54212ee0d14d,"Bc Agency, BC Hydro and Power Authority",Service,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Point locations of BC Hydro facility locations....,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,BC Hydro Facility Points,03303360-6193-4b79-9ff1-c70c3fc2c12b,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_BCHYDRO_FACILITY_PNTS_SP
Tailed Frog Habitat Suitability - DSQ,tailed-frog-habitat-suitability-dsq,Geographic,2fa22324-3f1a-448d-89df-7735b2c268ad,521b87d0-306a-412e-bcab-8ea9f41ec539,"Ministry Of Forests Lands And Natural Resource Operations, Fish, Wildlife and Habitat Management",Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2014-12-15,2016-02-03,Tailed Frog Habitat Suitability in Squamish Forest...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Tailed Frog Habitat Suitability - DSQ,946f6dae-2f43-498a-ba7b-ebc50a4175d0,Data,REG_LAND_AND_NATURAL_RESOURCE.TAILED_FROG_HABITAT_DSQ_LINE
Caribou Historic Use Areas - Telkwa - Skeena Region,caribou-historic-use-areas-telkwa-skeena-region,Geographic,f946aa21-c215-4174-b977-e4f0a7c21805,8d9a302d-f309-4791-89e8-f3784188f5f4,"Ministry Of Environment, Environmental Management",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Historic habitat range of Telkwa Caribou in the Sk...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Caribou Historic Use Areas - Telkwa - Skeena Region,eda624a3-f9e7-4cd7-a3f0-0ed81b24bd74,Data,REG_LAND_AND_NATURAL_RESOURCE.CARIBOU_HIST_USE_TELK_SKE_POLY
Fisheries Watercourse Classification - Port Coquitlam - Point,fisheries-watercourse-classification-port-coquitlam-point,Geographic,f93341b3-63d9-4b34-88a2-0b5fd45f0e81,521b87d0-306a-412e-bcab-8ea9f41ec539,"Ministry Of Forests Lands And Natural Resource Operations, Fish, Wildlife and Habitat Management",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Point coverage of Surface water with Habitat Sensi...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Fisheries Watercourse Classification - Port Coquitlam - Point,129d8c81-59e8-4b8a-8af3-ed6d52ae740f,Data,REG_LAND_AND_NATURAL_RESOURCE.FISH_WTRCOURSE_POCO_POINT
Translink Administrative Offices,translink-administrative-offices,Geographic,28ddd01f-cac7-496b-81be-f74100f51591,c3ceb66d-36e6-48b7-a7d2-f731982213f4,"Non Government, TransLink",Transportation,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Translink Administrative Offices...,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Translink Administrative Offices,989f7d33-1e97-499f-8488-97949eca5ac5,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_TRANSLINK_ADMIN_OFFICES_SP
"NTS BC Water Lines 1:250,000 - Digital Baseline Mapping (NTS)",nts-bc-water-lines-1-250-000-digital-baseline-mapping-nts,Geographic,f9a9efd9-728e-4100-973b-8bae2bd7f76c,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-03,SDE layer containing single line rivers....,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,NTS BC Water Lines 1:250,bd77f25c-9d46-49f0-8290-f517498fa093,Data,WHSE_BASEMAPPING.NTS_BC_WATER_LINES_125M
Environmental Protection Water Monitoring Locations SIR,environmental-protection-water-monitoring-locations-sir,Geographic,a5300f60-824a-4ce2-8eca-124374e017c7,36ee73ba-9a70-419f-8411-6605359d8803,"Ministry Of Forests Lands And Natural Resource Operations, Tree Improvement",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Environmental Protection Water Monitoring Location...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Environmental Protection Water Monitoring Locations SIR,4716a176-05e0-4b67-b4af-7855035b8dfc,Data,REG_LAND_AND_NATURAL_RESOURCE.EP_WATER_MONITORING_R3_POINT
Northern Goshawk nesting suitability for QCI,northern-goshawk-nesting-suitability-for-qci,Geographic,2d2aab3b-c458-4c85-a66a-f37c61ac7e38,34ebced4-a637-447c-88f5-3ab184f6ae82,"Ministry Of Forests Lands And Natural Resource Operations, Regional Operations - West Coast",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,habitat suitability polygons for Queen Charlotte I...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Northern Goshawk nesting suitability for QCI,8b6fd8de-6e35-485f-9975-57399e775c7c,Data,REG_LAND_AND_NATURAL_RESOURCE.GOSHAWK_NEST_QCI_POLY
Coast Information Team administrative boundary line,coast-information-team-administrative-boundary-line,Geographic,b19e2cac-9f08-4101-8539-ef50e285799b,34ebced4-a637-447c-88f5-3ab184f6ae82,"Ministry Of Forests Lands And Natural Resource Operations, Regional Operations - West Coast",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Planning boundary for the Coastal Information Team...,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Coast Information Team administrative boundary line,179dab59-8649-4f17-80a4-7e28ddedd6bd,Data,REG_LEGAL_AND_ADMIN_BOUNDARIES.ADMIN_BOUNDARY_CIT_LINE
Northern Goshawk Foraging Suitability for QCI - Line,northern-goshawk-foraging-suitability-for-qci-line,Geographic,cf118c3f-ee24-4d25-8b43-4f35269efeb2,34ebced4-a637-447c-88f5-3ab184f6ae82,"Ministry Of Forests Lands And Natural Resource Operations, Regional Operations - West Coast",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Northern Goshawk foraging suitability for QCI...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Northern Goshawk Foraging Suitability for QCI - Line,d0c7da2f-ab4f-4809-9996-f021fad28147,Data,REG_LAND_AND_NATURAL_RESOURCE.GOSHAWK_FORAG_QCI_LINE
"NTS BC Transport Lines 1:250,000 - Digital Baseline Mapping (NTS)",nts-bc-transport-lines-1-250-000-digital-baseline-mapping-nts,Geographic,50ce9b19-8185-4e0d-a6a1-5062e98053eb,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-03,"SDE layer containing roads, railways, etc...",completed,http://test.apps.gov.bc.ca/notice/edc/faq/,other,NTS BC Transport Lines 1:250,9536a424-3cfa-445c-b384-d9fba26059ae,Data,WHSE_BASEMAPPING.NTS_BC_TRANSPORT_LINES_125M
"VIR, 1999 Effingham IRS Image Catalogue (5m)",vir-1999-effingham-irs-image-catalogue-5m,Geographic,b955a5df-a589-49cb-8a3e-b7a02811d288,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-03,"VIR, 1999 Effingham IRS Image Catalogue (5m)...",onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,VIR,c2afed4e-fa0c-42a0-a0b6-8e179cb74a77,Data,REG_IMAGERY_AND_BASE_MAPS.IMG_CATALOGUE_EFF_POLY
Wildlife Species Inventory Survey Observations - Technical,wildlife-species-inventory-survey-observations-technical,Geographic,492a4a03-9c14-42ee-9db6-3e6f347ea853,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,SUPERCEDED by: [Wildlife Species Inventory Survey ...,obsolete,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Wildlife Species Inventory Survey Observations - Technical,4eacc390-f9dd-4a46-9ede-5c2b7c1ca044,Data,WHSE_WILDLIFE_INVENTORY.SPI_WILDLIFE_TECH_SP
Olympic Transportation Permitting Line,olympic-transportation-permitting-line,Geographic,34bf8ae3-af60-4b47-9057-66caf1673710,aa44dd04-942c-436c-b062-32ca32314ad9,"Non Government, Vancouver Olympic Organizing Committee",Economy,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Transportation permitting plan to manage the trafi...,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Olympic Transportation Permitting Line,cbf0bb84-4cac-4716-8eb9-129ed602d9c0,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_TRANSPORT_PERMIT_LINES_SP
Watercourses - TRIM Enhanced Base Map (EBM),watercourses-trim-enhanced-base-map-ebm,Geographic,86fba2b6-1cd0-4c9b-97dc-20dbeaa20e39,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Double line rivers and canals have been restructur...,completed,http://test.apps.gov.bc.ca/notice/edc/faq/,other,Watercourses - TRIM Enhanced Base Map (EBM),5d117430-0f20-46b5-8170-b1581c015bb5,Data,WHSE_BASEMAPPING.TRIM_EBM_WATERCOURSES
"BC SPOT Elevation Points 1:2,000,000  (Digital Baseline Mapping)",bc-spot-elevation-points-1-2-000-000-digital-baseline-mapping,Geographic,45a92fee-05d8-4f8c-a889-6ac8ac8d04fe,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-03,"SDE Layer containing elevations of mountains, etc....",completed,http://apps.gov.bc.ca/notice/edc/faq/,other,BC SPOT Elevation Points 1:2,ad4e1ad3-73df-427b-b4a7-afa8b85e58c8,Data,WHSE_BASEMAPPING.BC_SPOT_ELEVATION_POINTS_500M
Wetlands - TRIM Enhanced Base Map (EBM),wetlands-trim-enhanced-base-map-ebm,Geographic,f7edfcf3-0c48-4039-b2cc-61b1e154c5a9,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,"Swamps, marshes and other inundated lands. TRIM-EB...",completed,http://test.apps.gov.bc.ca/notice/edc/faq/,other,Wetlands - TRIM Enhanced Base Map (EBM),08e9f2ea-a351-40df-a22f-7e6ffdd4f559,Data,WHSE_BASEMAPPING.TRIM_EBM_WETLANDS
Draft Grizzly Bear management units,draft-grizzly-bear-management-units,Geographic,fbe97c00-6ba5-410a-a132-f4e26e41f344,521b87d0-306a-412e-bcab-8ea9f41ec539,"Ministry Of Forests Lands And Natural Resource Operations, Fish, Wildlife and Habitat Management",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Draft Grizzly Bear management units...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Draft Grizzly Bear management units,38ed88fe-c29e-4b50-bdca-d3ca82ae2f40,Data,REG_LAND_AND_NATURAL_RESOURCE.GRIZZLY_BEAR_MAN_UNIT_VIR_POLY
(7.5M) Bathymetric  - The Atlas of Canada Base Maps,7-5m-bathymetric-the-atlas-of-canada-base-maps,Geographic,f71354ca-1a08-4059-ba95-60400b212b20,d27b4d85-e3da-40e3-beeb-af5cda8a23e0,"Government Of Canada, Canadian Wildlife Service",Service,Access Only,LOW-SENSITIVITY,Public,Government,2014-12-15,2016-02-03,Contour lines representing values of equal elevati...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(7.5M) Bathymetric  - The Atlas of Canada Base Maps,b916e68e-c400-4c22-9763-af116f55e521,Data,WHSE_BASEMAPPING.DBM_7H_MIL_BATHYMETRIC_POLY
Bald Eagle Feeding Sites - DSQ,bald-eagle-feeding-sites-dsq,Geographic,f77f8011-98fb-430f-ac96-70c1d0799247,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2014-12-15,2016-02-03,Bald Eagle Feeding Sites for the Squamish Forest D...,completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Bald Eagle Feeding Sites - DSQ,86299c37-353f-43f6-bdff-7527a82d9be7,Data,REG_LAND_AND_NATURAL_RESOURCE.EAGLE_FEEDING_SITES_DSQ_POLY
"Climate normal stations for Vancouver Island, 1997",climate-normal-stations-for-vancouver-island-1997,Geographic,91cb60ba-3a5f-4179-b7d2-a9ed9c701fd9,3795a2cb-4550-409c-827c-4c507424b7d2,"Government Of Canada, Environment Canada",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Climate monitoring station locations for Environme...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Climate normal stations for Vancouver Island,6d2ff7cf-6fce-460c-a742-8da96136fb22,Data,REG_LAND_AND_NATURAL_RESOURCE.CLIMATE_STATIONS_VI_POINT
Vegetation Composite Polygons,vegetation-composite-polygons,Geographic,6ba30649-14cd-44ad-a11f-794feed39f40,199e816f-bb14-40f6-96e2-ab84b8b49faf,"Ministry Of Forests Lands And Natural Resource Operations, Forest Analysis and Inventory",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,A composite table comprising the polygon table att...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Vegetation Composite Polygons,c02f87e9-f952-492d-91b4-b6debd4fc8a3,Data,WHSE_FOREST_VEGETATION.VEG_COMP_POLY
Cedar forests in QCI,cedar-forests-in-qci,Geographic,cd4b145e-2fa6-44a3-a7e9-8eb9d483d491,34ebced4-a637-447c-88f5-3ab184f6ae82,"Ministry Of Forests Lands And Natural Resource Operations, Regional Operations - West Coast",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Cedar forest stands extracted from MOF Forest cove...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Cedar forests in QCI,a162be16-1a83-4f2c-a8ae-3938387efec4,Data,REG_LAND_AND_NATURAL_RESOURCE.CEDAR_FOREST_QC_POLY
AEI - 2000 Permit Points,aei-2000-permit-points,Geographic,1f3c61da-82b6-4fdc-9f98-c0938440b3cf,d71fc5b4-4723-4e21-83f1-a6da9c613ee5,"Ministry Of Health, Health Protection",Health and Safety,Access Only,MEDIUM-SENSITIVITY,Public,Government,2014-12-15,2016-02-03,DEPRECATED - Locations where a Waste Management Ac...,obsolete,http://apps.gov.bc.ca/notice/edc/faq/,other,AEI - 2000 Permit Points,4f40eb4f-a3e6-404e-b0a1-0f4b19e5b861,Data,WHSE_ENVIRONMENTAL_MONITORING.AEI_2000_AIR_PERMIT_POINTS_SP
"BC Water Lines 1:2,000,000  (Digital Baseline Mapping)",bc-water-lines-1-2-000-000-digital-baseline-mapping,Geographic,a1b9c58f-c32e-498e-94c1-a6e46ef287b2,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-03,SDE Layer containing single line rivers....,completed,http://test.apps.gov.bc.ca/notice/edc/faq/,other,BC Water Lines 1:2,c37b5633-8677-4ba1-9eec-26f8f1b110c6,Data,WHSE_BASEMAPPING.BC_WATER_LINES_500M
"Sandhill Crane Locational Records, within Burns Bog",sandhill-crane-locational-records-within-burns-bog,Geographic,a94c7a6b-25d9-4181-8d95-c79ec818c816,66263ee0-816d-4bb4-858b-41e1b6377e08,"Ministry Of Environment, Ecosystems",Natural Resources,Access Only,LOW-PUBLIC,Public,Government,2014-12-15,2016-02-03,"Sandhill Crane Locational Records, 1993-1994.  Loc...",onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Sandhill Crane Locational Records,84a2ea94-a848-4fb5-b60c-289c4c5de3c4,Data,REG_LAND_AND_NATURAL_RESOURCE.CRANE_LMR_POINT
Municipal Drainage - Storm Lines,municipal-drainage-storm-lines,Geographic,aeb79b36-eb8e-4942-ba70-3074b039daea,e51a8106-11c7-4436-a967-7cee18bfb159,"Ministry Of Forests Lands And Natural Resource Operations, GeoBC",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,"Municipal Drainage and Storm Line Infrastructure
-...",completed,http://apps.gov.bc.ca/notice/edc/faq/,other,Municipal Drainage - Storm Lines,88d1acdc-b036-445f-bb34-c1c0102dd1f2,Data,WHSE_IMAGERY_AND_BASE_MAPS.DRP_MUN_DRAIN_STORM_LINES_SP
Keen's Long Eared Myotis & Townsend's Big Eared Bat- DSQ,keen-s-long-eared-myotis-townsend-s-big-eared-bat-dsq,Geographic,c3c76b09-b375-4ce4-bf13-b4953cf03f44,521b87d0-306a-412e-bcab-8ea9f41ec539,"Ministry Of Forests Lands And Natural Resource Operations, Fish, Wildlife and Habitat Management",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Government,Government,2014-12-15,2016-02-03,Potential distribution for Keen?s Long-Eared Myoti...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Keen's Long Eared Myotis & Townsend's Big Eared Bat- DSQ,4eb432bf-2a42-4f3c-944f-1e386521959f,Data,REG_LAND_AND_NATURAL_RESOURCE.KEENS_MYOTIS_DSQ_POLY
Applications for Non-Farm Use in the ALR,applications-for-non-farm-use-in-the-alr,Geographic,c2dd2687-0817-4009-9fad-449e69198f0a,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION NONFARM USE (NFU) is ...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Applications for Non-Farm Use in the ALR,036fbbfb-fd34-436f-9976-3ee9eccf4f05,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_NFU_SVW
ALC Planning Reviews Spatial view,alc-planning-reviews-spatial-view,Geographic,8797b62e-6b3f-4f84-90f8-443269dab7bf,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial layer PLANNING REVIEW POLY is a multi ...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,Public view only,20cdda1a-158a-4049-bee8-e01cf68a83fd,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_PLANNING_REVIEWS_SVW
ALC Issues (Spatial View),alc-issues-spatial-view,Geographic,21869ad1-ed7f-45fe-9337-9deb78009ea5,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view ISSUES is a multi part polygon th...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALC Issues (Spatial View),080fd41d-4130-403b-ab47-c3018850c37f,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ISSUES_SVW
Applications for Exclusion from the ALR,applications-for-exclusion-from-the-alr,Geographic,3a87b8fb-41ed-4b1f-ab71-a5f3e00d24c1,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION EXCLUSIONS (EXC) is a...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Applications for Exclusion from the ALR,0711dbed-f04b-42ac-b227-b71ef86f5096,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_EXC_SVW
ALC ALR Boundary,alc-alr-boundary,Geographic,3edc2808-8283-4f1e-bbcc-5f9a5a61a2d2,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,LOW-PUBLIC,Public,Public,2014-12-15,2016-02-02,The spatial representation for a segment of the bo...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALC ALR Boundary,50e277ab-b612-4f81-8927-6649f1cc3810,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_BOUNDARY_LINES
Applications for Subdivision in the ALR,applications-for-subdivision-in-the-alr,Geographic,431fefc6-f9f5-4be4-9ff6-a2e00736d24d,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION SUBDIVISION (SDV) is ...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Applications for Subdivision in the ALR,b5d022b0-3bb1-44ff-bf04-e1e9a56eaa0c,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_SDV_SVW
Applications for Soil Change (Fill) in the ALR,applications-for-soil-change-fill-in-the-alr,Geographic,6c92dec7-92bf-4b0d-9bc6-1ea5fb9f1135,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION SOIL CHANGE (SCH) is ...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Applications for Soil Change (Fill) in the ALR,b64c569c-94e4-4558-8efa-5b3f16179d8a,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_SCH_SVW
Agricultural Land Reserve (ALR) Polygons,agricultural-land-reserve-alr-polygons,Geographic,6dc4b430-7eb7-4b93-b6de-c7eb5c016d83,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-02,SUPERSEDED by: [ALC ALR Polygons](http://catalogue...,obsolete,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Agricultural Land Reserve (ALR) Polygons,1e6a7d5d-a75d-43f2-b1ff-04fcbe3fb0c4,Data,WHSE_ADMIN_BOUNDARIES.ALC_AGRI_LAND_RESERVE_POLYS
Agricultural Land Reserve (ALR) Lines,agricultural-land-reserve-alr-lines,Geographic,72c1cb11-cddb-43b1-85ac-b72e9bc61767,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,LOW-PUBLIC,Government,Government,2014-12-15,2016-02-02,SUPERSEDED by: [ALC ALR Boundary](http://catalogue...,obsolete,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Agricultural Land Reserve (ALR) Lines,fdb957a3-3973-4742-8091-7a1cfc2ce852,Data,WHSE_ADMIN_BOUNDARIES.ALC_AGRI_LAND_RESERVE_LINES
ALR Exclusions and Inclusions,alr-exclusions-and-inclusions,Geographic,80b88647-1f3d-4896-9271-d6e7e654883b,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial layer DECISION COMPONENT POLY is a mul...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALR Exclusions and Inclusions,3961a850-a557-4b6d-b7b1-938b7a6d3855,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_DECISION_COMPONENT_POLYS
ALR Applications (Poly),alr-applications-poly,Geographic,ab5cd7a6-8c57-4520-9a27-f96f85d5b0b0,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,HIGH-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial layer APPLICATION POLY is a multi part...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALR Applications (Poly),f42179fa-6fcb-4775-9f72-75e80718c6ee,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPLICATION_POLYS
Notices of Intent in the ALR,notices-of-intent-in-the-alr,Geographic,bca96a79-d9f8-4201-8e1f-9dceebe5dbff,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION Notice of Intents (NO...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) Notices of Intent in the ALR,32d85017-a9e7-404f-b98a-148f1f9d762d,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_NOI_SVW
ALC Issues (Poly),alc-issues-poly,Geographic,d28f6f88-b90e-471c-b5a5-da1d00c1e61e,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,HIGH-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial layer ISSUE POLY is a multi part polyg...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALC Issues (Poly),b8372ba8-ae60-44ba-91ea-08b1f795baf2,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ISSUE_POLY
Areas Excluded from the ALR (Spatial View),areas-excluded-from-the-alr-spatial-view,Geographic,daf15cb0-478b-4c8b-92fa-7a4b8406e3c6,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,MEDIUM-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial view APPLICATION APPROVED EXCLUSIONS i...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,(DEPRECATED) ALR Excluded Areas (Spatial View),f2d05094-7fda-4b18-8721-15d3e31a54e4,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_ALR_APPL_APPRV_EXC_SVW
ALC Planning Reviews,alc-planning-reviews,Geographic,f430f054-8ea8-495f-bceb-8b0e5fb12225,38bde0e2-c4e6-4089-a2a0-6620bc556809,"Bc Agency, Agricultural Land Commission",Natural Resources,Access Only,HIGH-SENSITIVITY,Named users,Named users,2014-12-15,2016-02-02,The spatial layer PLANNING REVIEW POLY is a multi ...,onGoing,http://apps.gov.bc.ca/notice/edc/faq/,other,ALC Planning Reviews,763eea87-9380-41e8-8ef5-04e3e8f254e0,Data,WHSE_LEGAL_ADMIN_BOUNDARIES.OATS_PLANNING_REVIEW_POLY
